HIV/AIDS and tuberculosis,,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Northwest Arctic Borough, Alaska",2188,"5.71 (2.94, 9.44)","5.21 (2.94, 8.39)","10.55 (7.40, 14.36)","15.58 (11.74, 20.02)","5.83 (3.99, 8.24)","4.34 (2.81, 6.32)","2.81 (1.72, 4.40)","2.20 (1.24, 3.63)","-61.54 (-80.89, -18.50)"
"Petersburg Borough, Alaska",2195,"3.22 (1.76, 5.43)","2.62 (1.62, 3.96)","5.25 (3.98, 6.87)","7.34 (5.84, 9.16)","2.45 (1.76, 3.32)","1.81 (1.25, 2.55)","1.15 (0.70, 1.76)","0.91 (0.51, 1.46)","-71.64 (-87.42, -37.34)"
"Prince of Wales-Hyder Census Area, Alaska",2198,"3.22 (1.76, 5.43)","2.62 (1.62, 3.96)","5.25 (3.98, 6.87)","7.34 (5.84, 9.16)","2.45 (1.76, 3.32)","1.81 (1.25, 2.55)","1.15 (0.70, 1.76)","0.91 (0.51, 1.46)","-71.64 (-87.42, -37.34)"
"Sitka City and Borough, Alaska",2220,"4.03 (2.06, 7.46)","3.24 (1.83, 5.14)","6.02 (4.20, 8.35)","8.08 (5.99, 10.62)","3.08 (1.99, 4.51)","2.30 (1.38, 3.49)","1.55 (0.83, 2.58)","1.22 (0.62, 2.10)","-69.79 (-87.05, -28.51)"
"Skagway Municipality, Alaska",2230,"2.62 (1.41, 4.31)","2.15 (1.28, 3.40)","4.53 (3.21, 6.17)","6.68 (4.96, 8.76)","2.31 (1.57, 3.29)","1.70 (1.10, 2.50)","1.04 (0.63, 1.67)","0.79 (0.43, 1.35)","-69.81 (-85.53, -35.73)"
"Southeast Fairbanks Census Area, Alaska",2240,"1.66 (0.84, 2.84)","1.53 (0.84, 2.48)","3.08 (2.01, 4.24)","4.54 (3.28, 6.13)","1.36 (0.89, 1.96)","1.02 (0.64, 1.56)","0.64 (0.36, 1.01)","0.52 (0.28, 0.85)","-68.72 (-84.53, -38.45)"
"Valdez-Cordova Census Area, Alaska",2261,"1.25 (0.69, 2.01)","1.09 (0.65, 1.76)","2.77 (2.03, 3.76)","4.50 (3.28, 5.87)","1.30 (0.89, 1.81)","0.97 (0.63, 1.38)","0.59 (0.37, 0.90)","0.46 (0.26, 0.72)","-63.51 (-81.01, -31.59)"
"Wrangell City and Borough, Alaska",2275,"3.22 (1.76, 5.43)","2.62 (1.62, 3.96)","5.25 (3.98, 6.87)","7.34 (5.84, 9.16)","2.45 (1.76, 3.32)","1.81 (1.25, 2.55)","1.15 (0.70, 1.76)","0.91 (0.51, 1.46)","-71.64 (-87.42, -37.34)"
"Yakutat City and Borough, Alaska",2282,"2.62 (1.41, 4.31)","2.15 (1.28, 3.40)","4.53 (3.21, 6.17)","6.68 (4.96, 8.76)","2.31 (1.57, 3.29)","1.70 (1.10, 2.50)","1.04 (0.63, 1.67)","0.79 (0.43, 1.35)","-69.81 (-85.53, -35.73)"
"Yukon-Koyukuk Census Area, Alaska",2290,"3.44 (1.94, 5.55)","2.85 (1.73, 4.34)","5.80 (4.33, 7.66)","8.85 (6.92, 11.16)","3.06 (2.25, 4.08)","2.24 (1.55, 3.07)","1.41 (0.91, 2.04)","1.14 (0.70, 1.74)","-66.78 (-82.89, -34.08)"
Arizona,4,"1.61 (1.43, 1.82)","2.28 (2.11, 2.46)","8.90 (8.59, 9.19)","13.18 (12.84, 13.50)","4.16 (4.00, 4.36)","3.37 (3.20, 3.53)","2.14 (2.01, 2.28)","1.82 (1.70, 1.96)","13.10 (-1.00, 31.06)"
"Apache County, Arizona",4001,"4.73 (3.64, 6.04)","4.63 (3.71, 5.81)","11.75 (10.14, 13.65)","18.30 (16.17, 20.66)","6.09 (5.16, 7.21)","4.69 (3.87, 5.61)","2.69 (2.12, 3.35)","2.25 (1.78, 2.88)","-52.43 (-66.23, -35.41)"
"Cochise County, Arizona",4003,"1.37 (1.00, 1.84)","1.51 (1.20, 1.92)","5.30 (4.52, 6.10)","8.05 (7.11, 9.07)","2.40 (2.00, 2.86)","1.89 (1.53, 2.29)","1.08 (0.84, 1.37)","0.82 (0.62, 1.08)","-40.15 (-60.41, -10.58)"
"Coconino County, Arizona",4005,"1.70 (1.23, 2.25)","1.87 (1.47, 2.38)","5.92 (5.10, 6.85)","9.73 (8.61, 11.06)","2.81 (2.35, 3.33)","2.26 (1.87, 2.72)","1.51 (1.19, 1.86)","1.12 (0.86, 1.43)","-34.25 (-54.56, -2.98)"
"Gila County, Arizona",4007,"1.78 (1.34, 2.31)","2.12 (1.67, 2.62)","7.19 (6.10, 8.38)","11.34 (9.77, 13.03)","3.42 (2.85, 4.18)","2.78 (2.23, 3.47)","1.67 (1.29, 2.20)","1.37 (1.04, 1.80)","-23.02 (-46.48, 10.05)"
"Graham County, Arizona",4009,"1.38 (1.01, 1.87)","1.59 (1.22, 2.09)","5.80 (4.78, 7.00)","9.37 (7.85, 11.02)","2.76 (2.18, 3.43)","2.16 (1.66, 2.75)","1.30 (0.96, 1.73)","1.00 (0.70, 1.38)","-28.00 (-50.79, 5.76)"
"Greenlee County, Arizona",4011,"1.34 (0.90, 1.89)","1.46 (1.04, 1.99)","4.99 (3.94, 6.19)","7.96 (6.29, 9.66)","2.22 (1.62, 3.01)","1.77 (1.23, 2.44)","1.06 (0.68, 1.55)","0.83 (0.52, 1.26)","-37.81 (-62.67, -3.82)"
"La Paz County, Arizona",4012,"1.20 (0.93, 1.55)","1.50 (1.22, 1.85)","5.69 (4.88, 6.51)","9.16 (8.16, 10.30)","2.76 (2.36, 3.20)","2.49 (2.06, 2.96)","1.58 (1.27, 1.95)","1.36 (1.06, 1.72)","13.55 (-19.17, 64.55)"
"Maricopa County, Arizona",4013,"1.63 (1.37, 1.91)","2.35 (2.11, 2.62)","9.86 (9.45, 10.27)","13.52 (13.02, 13.92)","4.47 (4.21, 4.75)","3.55 (3.31, 3.81)","2.33 (2.14, 2.54)","1.98 (1.81, 2.16)","21.45 (1.00, 48.95)"
"Mohave County, Arizona",4015,"1.03 (0.78, 1.33)","1.45 (1.18, 1.75)","6.76 (5.91, 7.67)","12.04 (10.78, 13.44)","4.44 (3.84, 5.10)","3.41 (2.88, 3.97)","2.44 (2.03, 2.94)","1.99 (1.61, 2.44)","93.08 (35.17, 168.50)"
"Navajo County, Arizona",4017,"2.22 (1.63, 2.96)","2.62 (2.07, 3.31)","8.36 (7.13, 9.70)","13.06 (11.43, 14.77)","4.01 (3.32, 4.76)","3.02 (2.42, 3.66)","1.66 (1.30, 2.08)","1.45 (1.10, 1.86)","-34.42 (-55.95, -5.44)"
"Pima County, Arizona",4019,"1.60 (1.30, 1.94)","2.58 (2.20, 2.96)","8.60 (7.96, 9.26)","15.10 (14.31, 15.93)","4.23 (3.84, 4.66)","3.75 (3.37, 4.16)","2.23 (1.93, 2.56)","1.93 (1.67, 2.20)","20.68 (-6.29, 57.46)"
"Pinal County, Arizona",4021,"1.88 (1.42, 2.47)","2.15 (1.74, 2.60)","7.69 (6.74, 8.69)","12.27 (11.06, 13.60)","3.63 (3.15, 4.15)","2.93 (2.50, 3.40)","1.83 (1.52, 2.16)","1.51 (1.25, 1.83)","-19.60 (-42.41, 15.12)"
"Santa Cruz County, Arizona",4023,"1.87 (1.23, 2.81)","1.94 (1.41, 2.68)","5.40 (4.45, 6.58)","7.59 (6.38, 8.93)","2.35 (1.82, 2.97)","1.76 (1.32, 2.29)","1.04 (0.71, 1.44)","0.78 (0.51, 1.11)","-58.48 (-75.15, -29.73)"
"Yavapai County, Arizona",4025,"1.14 (0.85, 1.54)","1.47 (1.20, 1.80)","5.88 (5.11, 6.73)","10.58 (9.43, 11.79)","2.61 (2.23, 3.02)","1.98 (1.65, 2.34)","1.18 (0.95, 1.45)","1.00 (0.78, 1.26)","-12.21 (-39.83, 26.84)"
"Yuma County, Arizona",4027,"1.20 (0.93, 1.55)","1.50 (1.22, 1.85)","5.69 (4.88, 6.51)","9.16 (8.16, 10.30)","2.76 (2.36, 3.20)","2.49 (2.06, 2.96)","1.58 (1.27, 1.95)","1.36 (1.06, 1.72)","13.55 (-19.17, 64.55)"
Arkansas,5,"1.03 (0.93, 1.14)","1.51 (1.41, 1.61)","6.33 (6.11, 6.54)","11.02 (10.72, 11.32)","3.79 (3.64, 3.93)","3.38 (3.23, 3.54)","2.34 (2.21, 2.47)","2.10 (1.98, 2.25)","103.94 (81.15, 132.37)"
"Arkansas County, Arkansas",5001,"0.58 (0.41, 0.81)","0.88 (0.66, 1.17)","4.37 (3.52, 5.41)","8.31 (6.81, 9.95)","2.71 (2.08, 3.48)","2.43 (1.78, 3.22)","1.72 (1.21, 2.38)","1.52 (1.02, 2.16)","163.06 (72.41, 312.17)"
"Ashley County, Arkansas",5003,"0.68 (0.46, 0.98)","1.08 (0.80, 1.43)","5.50 (4.37, 6.73)","10.37 (8.55, 12.43)","3.52 (2.65, 4.52)","3.24 (2.40, 4.24)","2.22 (1.51, 3.09)","2.09 (1.45, 2.97)","204.95 (101.00, 363.01)"
"Baxter County, Arkansas",5005,"0.88 (0.61, 1.25)","1.08 (0.82, 1.44)","4.23 (3.46, 5.17)","7.79 (6.45, 9.43)","2.10 (1.63, 2.65)","1.73 (1.28, 2.30)","1.04 (0.72, 1.45)","0.85 (0.56, 1.25)","-3.31 (-40.66, 60.10)"
"Benton County, Arkansas",5007,"0.89 (0.64, 1.23)","1.05 (0.82, 1.32)","3.98 (3.34, 4.65)","6.33 (5.53, 7.27)","1.94 (1.64, 2.31)","1.59 (1.30, 1.94)","1.07 (0.83, 1.35)","0.87 (0.66, 1.12)","-2.80 (-35.78, 46.15)"
"Boone County, Arkansas",5009,"0.90 (0.60, 1.31)","1.13 (0.80, 1.57)","4.35 (3.42, 5.35)","7.32 (5.92, 9.00)","2.03 (1.52, 2.64)","1.65 (1.16, 2.27)","0.98 (0.64, 1.43)","0.79 (0.50, 1.20)","-11.84 (-46.12, 47.27)"
"Bradley County, Arkansas",5011,"0.91 (0.59, 1.31)","1.46 (1.05, 1.95)","6.75 (5.38, 8.23)","12.66 (10.40, 15.42)","4.20 (3.14, 5.44)","3.73 (2.72, 5.01)","2.62 (1.76, 3.76)","2.38 (1.52, 3.57)","161.48 (59.70, 320.10)"
"Calhoun County, Arkansas",5013,"0.91 (0.56, 1.36)","1.25 (0.85, 1.75)","5.36 (4.10, 6.86)","9.79 (7.62, 12.15)","3.27 (2.45, 4.27)","2.84 (2.05, 3.94)","1.89 (1.26, 2.68)","1.71 (1.12, 2.50)","87.81 (14.89, 201.76)"
"Carroll County, Arkansas",5015,"0.98 (0.67, 1.39)","1.29 (0.98, 1.70)","5.14 (4.18, 6.32)","8.49 (7.10, 10.08)","2.57 (2.00, 3.23)","2.05 (1.58, 2.65)","1.23 (0.89, 1.68)","1.05 (0.73, 1.48)","7.05 (-30.89, 66.06)"
"Chicot County, Arkansas",5017,"1.10 (0.79, 1.48)","1.71 (1.31, 2.18)","7.86 (6.48, 9.41)","15.00 (12.68, 17.89)","5.42 (4.38, 6.67)","5.03 (3.88, 6.38)","3.65 (2.70, 4.77)","3.51 (2.50, 4.69)","220.37 (117.16, 363.03)"
"Clark County, Arkansas",5019,"1.06 (0.72, 1.54)","1.41 (1.02, 1.89)","5.50 (4.38, 6.77)","10.19 (8.27, 12.24)","3.32 (2.51, 4.35)","2.99 (2.17, 4.07)","2.03 (1.38, 2.89)","1.73 (1.15, 2.53)","62.30 (4.07, 144.07)"
"Clay County, Arkansas",5021,"0.73 (0.44, 1.11)","0.88 (0.58, 1.26)","3.89 (2.93, 5.07)","6.86 (5.35, 8.77)","1.90 (1.29, 2.72)","1.53 (0.97, 2.25)","0.90 (0.53, 1.46)","0.74 (0.42, 1.20)","1.86 (-41.34, 61.25)"
"Cleburne County, Arkansas",5023,"0.81 (0.53, 1.20)","1.03 (0.74, 1.39)","4.23 (3.36, 5.24)","7.68 (6.31, 9.29)","2.20 (1.71, 2.83)","1.87 (1.36, 2.52)","1.18 (0.81, 1.71)","0.98 (0.66, 1.42)","20.99 (-24.24, 87.93)"
"Cleveland County, Arkansas",5025,"0.51 (0.34, 0.74)","0.69 (0.49, 0.93)","3.38 (2.57, 4.29)","6.43 (5.02, 7.89)","1.94 (1.41, 2.58)","1.66 (1.19, 2.29)","1.04 (0.69, 1.52)","0.88 (0.57, 1.31)","71.85 (11.03, 167.95)"
"Columbia County, Arkansas",5027,"1.17 (0.81, 1.62)","1.80 (1.38, 2.29)","7.78 (6.47, 9.29)","14.47 (12.40, 16.90)","5.30 (4.26, 6.45)","4.98 (3.93, 6.30)","3.42 (2.56, 4.43)","3.11 (2.26, 4.16)","164.94 (78.71, 303.20)"
"Conway County, Arkansas",5029,"1.26 (0.85, 1.83)","1.59 (1.15, 2.16)","6.16 (4.89, 7.48)","10.70 (8.82, 12.76)","3.23 (2.48, 4.09)","2.71 (2.00, 3.54)","1.71 (1.17, 2.37)","1.38 (0.91, 1.98)","9.47 (-30.10, 71.01)"
"Craighead County, Arkansas",5031,"0.75 (0.53, 1.03)","1.09 (0.86, 1.40)","5.03 (4.24, 6.00)","9.04 (7.79, 10.36)","2.94 (2.40, 3.55)","2.85 (2.26, 3.61)","2.04 (1.59, 2.59)","1.74 (1.34, 2.27)","132.83 (56.98, 257.13)"
"Crawford County, Arkansas",5033,"0.91 (0.63, 1.28)","1.14 (0.87, 1.50)","4.69 (3.82, 5.70)","8.27 (7.03, 9.63)","2.46 (1.97, 3.05)","2.04 (1.56, 2.59)","1.21 (0.90, 1.59)","1.00 (0.71, 1.36)","10.02 (-30.17, 73.95)"
"Crittenden County, Arkansas",5035,"1.27 (0.95, 1.68)","2.30 (1.85, 2.80)","10.89 (9.41, 12.49)","21.17 (18.80, 23.83)","9.74 (8.27, 11.19)","9.91 (8.43, 11.66)","8.32 (6.82, 9.89)","7.87 (6.46, 9.58)","518.65 (337.15, 742.59)"
"Cross County, Arkansas",5037,"0.80 (0.52, 1.16)","1.21 (0.87, 1.67)","5.79 (4.62, 7.14)","11.34 (9.13, 13.75)","3.70 (2.73, 4.81)","3.29 (2.26, 4.44)","2.17 (1.42, 3.12)","1.94 (1.24, 2.89)","142.03 (57.39, 263.25)"
"Dallas County, Arkansas",5039,"1.34 (0.89, 1.91)","1.83 (1.31, 2.50)","6.99 (5.61, 8.58)","13.06 (10.59, 15.84)","5.05 (3.85, 6.56)","4.23 (3.02, 5.64)","2.99 (2.04, 4.20)","2.56 (1.65, 3.71)","90.36 (22.14, 191.92)"
"Desha County, Arkansas",5041,"0.87 (0.59, 1.20)","1.25 (0.93, 1.65)","5.66 (4.55, 6.89)","10.84 (8.93, 12.93)","4.11 (3.09, 5.16)","3.70 (2.76, 4.79)","2.70 (1.89, 3.64)","2.37 (1.63, 3.29)","173.72 (74.74, 304.97)"
"Drew County, Arkansas",5043,"0.70 (0.45, 1.00)","0.99 (0.71, 1.33)","4.37 (3.49, 5.37)","8.58 (7.03, 10.40)","2.96 (2.25, 3.80)","2.72 (1.96, 3.57)","1.93 (1.33, 2.60)","1.79 (1.24, 2.49)","157.23 (60.61, 307.65)"
"Faulkner County, Arkansas",5045,"0.75 (0.55, 1.01)","1.02 (0.79, 1.28)","4.40 (3.69, 5.17)","7.93 (6.87, 9.15)","2.43 (2.00, 3.00)","2.16 (1.73, 2.69)","1.45 (1.09, 1.94)","1.30 (0.94, 1.71)","73.02 (17.42, 159.53)"
"Franklin County, Arkansas",5047,"0.94 (0.61, 1.41)","1.16 (0.82, 1.60)","4.50 (3.60, 5.69)","8.02 (6.39, 10.09)","2.26 (1.63, 2.97)","1.82 (1.25, 2.49)","1.14 (0.73, 1.65)","0.95 (0.57, 1.44)","0.28 (-38.39, 63.08)"
"Fulton County, Arkansas",5049,"0.75 (0.48, 1.13)","0.90 (0.65, 1.27)","3.60 (2.82, 4.60)","6.42 (5.07, 7.86)","1.79 (1.30, 2.41)","1.44 (1.02, 2.00)","0.86 (0.58, 1.27)","0.71 (0.44, 1.07)","-5.47 (-43.06, 53.42)"
"Garland County, Arkansas",5051,"1.37 (0.99, 1.87)","1.78 (1.40, 2.23)","7.77 (6.66, 9.01)","12.27 (10.67, 13.86)","4.46 (3.69, 5.34)","3.89 (3.19, 4.73)","2.62 (2.07, 3.30)","2.33 (1.81, 2.97)","70.49 (14.38, 147.29)"
"Grant County, Arkansas",5053,"0.54 (0.35, 0.80)","0.75 (0.52, 1.06)","3.70 (2.87, 4.64)","7.14 (5.64, 8.95)","2.15 (1.55, 2.95)","1.84 (1.27, 2.63)","1.17 (0.72, 1.77)","1.04 (0.64, 1.59)","91.81 (20.30, 200.99)"
"Greene County, Arkansas",5055,"0.87 (0.57, 1.30)","1.12 (0.78, 1.56)","4.32 (3.40, 5.34)","7.81 (6.34, 9.49)","2.40 (1.78, 3.14)","2.04 (1.45, 2.77)","1.29 (0.85, 1.81)","1.07 (0.69, 1.60)","23.37 (-23.04, 101.26)"
"Hempstead County, Arkansas",5057,"1.02 (0.69, 1.43)","1.36 (1.01, 1.79)","5.63 (4.60, 6.82)","10.08 (8.33, 12.01)","3.50 (2.76, 4.37)","3.05 (2.29, 3.99)","2.03 (1.45, 2.80)","1.78 (1.22, 2.50)","73.55 (10.16, 178.81)"
"Hot Spring County, Arkansas",5059,"0.88 (0.59, 1.25)","1.23 (0.87, 1.64)","4.98 (3.96, 6.17)","8.65 (7.08, 10.58)","2.86 (2.17, 3.65)","2.52 (1.85, 3.32)","1.71 (1.17, 2.37)","1.61 (1.10, 2.23)","82.69 (23.49, 174.72)"
"Howard County, Arkansas",5061,"0.97 (0.61, 1.46)","1.33 (0.92, 1.85)","5.72 (4.44, 7.28)","10.28 (8.26, 12.62)","3.12 (2.23, 4.34)","2.55 (1.74, 3.54)","1.61 (1.00, 2.41)","1.34 (0.80, 2.01)","38.79 (-13.69, 112.87)"
"Independence County, Arkansas",5063,"0.85 (0.58, 1.21)","1.03 (0.75, 1.36)","4.42 (3.53, 5.40)","8.22 (6.75, 9.93)","2.61 (1.99, 3.28)","2.44 (1.79, 3.26)","1.47 (1.02, 2.01)","1.22 (0.82, 1.72)","43.84 (-10.00, 122.82)"
"Izard County, Arkansas",5065,"0.79 (0.52, 1.18)","0.99 (0.69, 1.36)","4.11 (3.20, 5.14)","7.90 (6.24, 9.83)","2.39 (1.74, 3.22)","1.96 (1.31, 2.76)","1.19 (0.76, 1.79)","1.01 (0.60, 1.53)","27.37 (-25.04, 107.37)"
"Jackson County, Arkansas",5067,"0.88 (0.63, 1.19)","1.21 (0.91, 1.58)","5.26 (4.22, 6.49)","9.47 (7.64, 11.32)","3.23 (2.41, 4.09)","2.82 (2.02, 3.74)","1.90 (1.30, 2.60)","1.69 (1.11, 2.45)","91.90 (26.25, 188.04)"
"Jefferson County, Arkansas",5069,"1.61 (1.19, 2.09)","2.31 (1.84, 2.83)","9.24 (8.13, 10.56)","17.09 (15.26, 19.07)","6.33 (5.43, 7.35)","6.03 (5.11, 7.09)","4.24 (3.44, 5.12)","3.80 (3.07, 4.74)","136.34 (68.57, 229.06)"
"Johnson County, Arkansas",5071,"0.99 (0.63, 1.48)","1.28 (0.91, 1.74)","5.17 (4.14, 6.40)","9.28 (7.59, 11.31)","2.78 (2.08, 3.56)","2.42 (1.72, 3.24)","1.51 (0.99, 2.13)","1.28 (0.81, 1.86)","29.90 (-24.27, 118.14)"
"Lafayette County, Arkansas",5073,"1.02 (0.69, 1.41)","1.42 (1.02, 1.86)","6.12 (4.83, 7.56)","11.62 (9.40, 14.12)","3.64 (2.77, 4.68)","3.30 (2.40, 4.43)","2.18 (1.50, 3.05)","1.84 (1.22, 2.68)","80.57 (14.99, 175.78)"
"Lawrence County, Arkansas",5075,"0.85 (0.55, 1.26)","1.10 (0.75, 1.61)","4.47 (3.42, 5.74)","8.40 (6.65, 10.50)","2.38 (1.67, 3.27)","2.00 (1.27, 2.95)","1.23 (0.75, 1.94)","1.05 (0.61, 1.69)","24.15 (-23.33, 101.58)"
"Lee County, Arkansas",5077,"1.54 (1.06, 2.22)","2.35 (1.76, 3.10)","9.68 (8.02, 11.65)","18.69 (15.92, 21.88)","7.93 (6.44, 9.77)","7.05 (5.53, 8.76)","5.46 (4.11, 7.06)","4.94 (3.60, 6.52)","220.82 (112.10, 398.03)"
"Lincoln County, Arkansas",5079,"0.75 (0.48, 1.12)","1.07 (0.74, 1.53)","4.94 (3.85, 6.28)","8.80 (6.95, 10.99)","2.61 (1.85, 3.56)","2.20 (1.48, 3.11)","1.33 (0.83, 2.08)","1.21 (0.72, 1.96)","59.97 (1.41, 140.64)"
"Little River County, Arkansas",5081,"1.31 (0.88, 1.85)","1.59 (1.15, 2.10)","5.83 (4.62, 7.12)","10.02 (8.24, 12.17)","3.44 (2.68, 4.41)","2.83 (2.10, 3.73)","1.84 (1.26, 2.53)","1.62 (1.12, 2.29)","23.80 (-19.14, 89.84)"
"Logan County, Arkansas",5083,"1.25 (0.82, 1.83)","1.52 (1.09, 2.07)","5.60 (4.51, 6.93)","9.32 (7.61, 11.16)","3.02 (2.27, 3.99)","2.60 (1.87, 3.54)","1.76 (1.18, 2.52)","1.48 (0.99, 2.15)","18.16 (-24.49, 83.03)"
"Lonoke County, Arkansas",5085,"0.78 (0.55, 1.08)","1.00 (0.76, 1.29)","4.42 (3.67, 5.36)","7.90 (6.66, 9.25)","2.40 (1.90, 2.97)","2.23 (1.71, 2.83)","1.46 (1.08, 1.92)","1.28 (0.90, 1.70)","62.60 (5.24, 143.15)"
"Madison County, Arkansas",5087,"0.75 (0.49, 1.10)","0.91 (0.63, 1.27)","3.68 (2.78, 4.62)","6.51 (5.02, 8.19)","1.83 (1.30, 2.50)","1.48 (0.98, 2.11)","0.91 (0.55, 1.40)","0.72 (0.43, 1.16)","-3.52 (-38.99, 55.97)"
"Marion County, Arkansas",5089,"0.74 (0.48, 1.08)","0.88 (0.61, 1.23)","3.35 (2.59, 4.21)","5.99 (4.74, 7.37)","1.69 (1.21, 2.24)","1.32 (0.88, 1.84)","0.79 (0.50, 1.21)","0.65 (0.40, 1.02)","-12.13 (-45.60, 43.10)"
"Miller County, Arkansas",5091,"0.98 (0.72, 1.35)","1.50 (1.15, 1.89)","6.42 (5.41, 7.50)","11.78 (10.14, 13.39)","4.23 (3.50, 5.06)","4.00 (3.23, 4.89)","2.84 (2.22, 3.52)","2.70 (2.05, 3.43)","176.88 (87.97, 309.95)"
"Mississippi County, Arkansas",5093,"1.01 (0.73, 1.35)","1.54 (1.20, 1.93)","6.82 (5.71, 7.99)","13.77 (11.98, 15.82)","5.42 (4.40, 6.54)","4.84 (3.87, 6.02)","3.71 (2.83, 4.74)","3.33 (2.49, 4.32)","229.24 (135.95, 366.47)"
"Monroe County, Arkansas",5095,"1.05 (0.68, 1.54)","1.60 (1.15, 2.14)","7.44 (6.07, 9.25)","13.83 (11.17, 16.81)","4.73 (3.52, 6.11)","4.20 (3.11, 5.61)","3.01 (2.09, 4.23)","2.75 (1.88, 3.82)","160.72 (73.38, 313.42)"
"Montgomery County, Arkansas",5097,"0.61 (0.40, 0.88)","0.80 (0.57, 1.08)","3.68 (2.82, 4.65)","6.77 (5.30, 8.32)","1.91 (1.43, 2.54)","1.59 (1.13, 2.19)","1.01 (0.67, 1.42)","0.84 (0.55, 1.20)","37.54 (-14.49, 121.66)"
"Nevada County, Arkansas",5099,"1.02 (0.65, 1.50)","1.36 (0.94, 1.89)","5.86 (4.60, 7.32)","10.68 (8.62, 13.11)","3.35 (2.40, 4.41)","2.86 (1.96, 4.02)","1.78 (1.15, 2.57)","1.55 (0.96, 2.35)","52.14 (-3.70, 126.51)"
"Newton County, Arkansas",5101,"0.98 (0.61, 1.50)","1.20 (0.81, 1.72)","4.58 (3.53, 5.93)","7.98 (6.09, 9.99)","2.41 (1.68, 3.39)","1.98 (1.30, 2.93)","1.29 (0.78, 1.98)","0.99 (0.56, 1.57)","0.56 (-39.25, 60.77)"
"Ouachita County, Arkansas",5103,"1.52 (1.05, 2.10)","2.07 (1.57, 2.72)","7.63 (6.38, 9.11)","14.10 (12.05, 16.47)","5.66 (4.56, 6.82)","4.93 (3.94, 6.16)","3.62 (2.74, 4.69)","3.20 (2.38, 4.19)","110.36 (42.20, 217.49)"
"Perry County, Arkansas",5105,"0.72 (0.47, 1.08)","0.96 (0.68, 1.37)","4.45 (3.38, 5.61)","8.21 (6.42, 10.33)","2.50 (1.76, 3.39)","2.09 (1.40, 2.98)","1.33 (0.86, 1.96)","1.17 (0.72, 1.84)","63.01 (4.22, 144.13)"
"Phillips County, Arkansas",5107,"1.10 (0.80, 1.50)","1.81 (1.43, 2.30)","8.31 (6.86, 9.68)","16.61 (14.15, 19.56)","6.44 (5.21, 7.84)","6.28 (4.97, 7.63)","4.45 (3.43, 5.71)","4.04 (2.99, 5.22)","267.26 (161.01, 423.22)"
"Pike County, Arkansas",5109,"0.59 (0.36, 0.90)","0.81 (0.56, 1.18)","3.78 (2.91, 4.88)","6.95 (5.37, 8.74)","1.97 (1.35, 2.80)","1.63 (1.07, 2.40)","1.03 (0.60, 1.62)","0.88 (0.48, 1.41)","49.82 (-6.93, 125.99)"
"Poinsett County, Arkansas",5111,"0.63 (0.40, 0.96)","0.94 (0.67, 1.30)","5.17 (4.04, 6.48)","9.95 (8.12, 12.18)","2.99 (2.18, 3.95)","2.83 (2.01, 3.93)","1.77 (1.17, 2.62)","1.65 (1.07, 2.44)","160.25 (65.54, 289.78)"
"Polk County, Arkansas",5113,"0.78 (0.54, 1.09)","1.02 (0.75, 1.36)","4.15 (3.33, 5.15)","7.52 (6.22, 9.07)","2.34 (1.77, 3.02)","1.96 (1.42, 2.62)","1.26 (0.86, 1.81)","1.08 (0.72, 1.58)","38.41 (-11.10, 118.28)"
"Pope County, Arkansas",5115,"1.14 (0.79, 1.57)","1.34 (1.01, 1.75)","4.45 (3.67, 5.27)","7.78 (6.58, 9.20)","2.44 (1.95, 3.03)","2.08 (1.58, 2.61)","1.34 (0.97, 1.74)","1.17 (0.84, 1.56)","2.83 (-31.50, 56.94)"
"Prairie County, Arkansas",5117,"0.63 (0.39, 0.94)","0.93 (0.63, 1.31)","4.72 (3.65, 5.90)","9.29 (7.23, 11.35)","2.91 (2.07, 3.94)","2.63 (1.79, 3.76)","1.71 (1.08, 2.53)","1.46 (0.87, 2.26)","131.10 (43.49, 275.22)"
"Pulaski County, Arkansas",5119,"1.29 (1.02, 1.62)","2.33 (1.96, 2.72)","9.87 (8.99, 10.82)","16.61 (15.46, 17.86)","6.08 (5.45, 6.73)","5.96 (5.28, 6.70)","4.35 (3.82, 5.00)","4.33 (3.77, 4.93)","235.15 (157.52, 337.24)"
"Randolph County, Arkansas",5121,"0.83 (0.53, 1.21)","0.98 (0.67, 1.40)","4.13 (3.16, 5.32)","7.62 (5.89, 9.53)","2.08 (1.43, 2.83)","1.68 (1.08, 2.41)","0.99 (0.58, 1.49)","0.80 (0.44, 1.28)","-3.06 (-41.19, 53.39)"
"Saint Francis County, Arkansas",5123,"1.43 (1.00, 2.00)","2.31 (1.74, 2.95)","9.21 (7.74, 10.84)","17.84 (15.45, 20.47)","7.72 (6.38, 9.37)","7.19 (5.75, 8.68)","5.53 (4.28, 7.02)","5.02 (3.81, 6.35)","250.01 (134.49, 413.33)"
